pathway,symbol,gene,rho,p_val,padj
HALLMARK_G2M_CHECKPOINT,BIRC5,ENSG00000089685,0.1537282583289022,4.517795106177679e-4,0.0015584877077686758
HALLMARK_ANDROGEN_RESPONSE,FKBP5,ENSG00000096060,-0.15271187657707364,4.933155878885392e-4,0.0016904280811647276
HALLMARK_ESTROGEN_RESPONSE_LATE,JAK2,ENSG00000096968,0.15089875620907825,5.763476735514741e-4,0.001961872213281177
HALLMARK_IL2_STAT5_SIGNALING,PLSCR1,ENSG00000188313,0.14947678772176481,6.503519388650147e-4,0.002199216424846168
HALLMARK_COMPLEMENT,SERPING1,ENSG00000149131,0.14934330269218152,6.577334575607698e-4,0.0022096405044852007
HALLMARK_TNFA_SIGNALING_VIA_NFKB,RIGI,ENSG00000107201,0.1490712686008409,6.730175880627101e-4,0.0022463054562612533
HALLMARK_ESTROGEN_RESPONSE_LATE,BCL2,ENSG00000171791,-0.14667656444579816,8.224864545854164e-4,0.002727471210689703
HALLMARK_UV_RESPONSE_DN,PRKCE,ENSG00000171132,-0.14491504773818553,9.514291311360019e-4,0.0031348370089993908
HALLMARK_APICAL_JUNCTION,ALOX15B,ENSG00000179593,0.14461816912939798,9.749163179253323e-4,0.0031917642510421707
HALLMARK_P53_PATHWAY,DDIT3,ENSG00000175197,0.14436221591888987,9.955942704537697e-4,0.003226721504377372
HALLMARK_MYC_TARGETS_V1,PSMB2,ENSG00000126067,-0.14433093145940504,9.981492591361908e-4,0.003226721504377372
HALLMARK_INTERFERON_GAMMA_RESPONSE,BANK1,ENSG00000153064,0.14338856930263744,0.0010780078326518311,0.0034631001623940073
HALLMARK_INTERFERON_ALPHA_RESPONSE,ADAR,ENSG00000160710,0.14244069758210878,0.0011642419611186143,0.003716896695745141
HALLMARK_APOPTOSIS,ATF3,ENSG00000162772,0.14209052910606357,0.0011976754425157435,0.0038000319595869886
HALLMARK_COMPLEMENT,C1QC,ENSG00000159189,0.14189724805240594,0.0012165062008898623,0.003836099308327541
HALLMARK_E2F_TARGETS,MKI67,ENSG00000148773,0.1391778364271346,0.0015120145625690553,0.00473887490951521
HALLMARK_COMPLEMENT,CTSL,ENSG00000135047,0.13609933250661363,0.0019252364919120795,0.0059974033748049025
HALLMARK_CHOLESTEROL_HOMEOSTASIS,ATF3,ENSG00000162772,0.13571079099860348,0.001984165520543158,0.006143741431079416
HALLMARK_P53_PATHWAY,ALOX15B,ENSG00000179593,0.13458485005676574,0.002164379870436033,0.006661624271880964
HALLMARK_TNFA_SIGNALING_VIA_NFKB,IFIT2,ENSG00000119922,0.13395533149041355,0.002271541971179035,0.006949836745154904
HALLMARK_KRAS_SIGNALING_DN,IFI44L,ENSG00000137959,0.1336583912092618,0.0023237531803698645,0.0070514442451117204
HALLMARK_TNFA_SIGNALING_VIA_NFKB,BIRC3,ENSG00000023445,0.13361098292786527,0.0023321897308735263,0.0070514442451117204
HALLMARK_IL2_STAT5_SIGNALING,IFNGR1,ENSG00000027697,-0.13335346818379706,0.0023785063476248363,0.007149428436720269
HALLMARK_PI3K_AKT_MTOR_SIGNALING,STAT2,ENSG00000170581,0.13298379184681625,0.0024464651059152194,0.007310948049072226
HALLMARK_APICAL_JUNCTION,COL16A1,ENSG00000084636,0.132885891822274,0.0024647567094919953,0.007323034385427084
HALLMARK_INTERFERON_ALPHA_RESPONSE,CCRL2,ENSG00000121797,0.1327433224431228,0.0024916175387043877,0.007329483805181513
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFI35,ENSG00000068079,0.13272311204177084,0.0024954468208302815,0.007329483805181513
HALLMARK_INTERFERON_GAMMA_RESPONSE,CD40,ENSG00000101017,0.1311978008098113,0.0028004256756256306,0.008178515893588489
HALLMARK_INTERFERON_ALPHA_RESPONSE,ISG20,ENSG00000172183,0.13079415090400545,0.0028866242770647418,0.008382626431702131
HALLMARK_OXIDATIVE_PHOSPHORYLATION,TIMM10,ENSG00000134809,-0.13063049296522333,0.0029222559147145583,0.008429691098017639
HALLMARK_IL6_JAK_STAT3_SIGNALING,CCL7,ENSG00000108688,0.13056952566208668,0.0029356317247960255,0.008429691098017639
HALLMARK_INTERFERON_GAMMA_RESPONSE,STAT2,ENSG00000170581,0.12972539595499913,0.0031266419912821366,0.00892829990843899
